ticker,news_date,news_title,price_prev_close,volume_event_day,day_of_week,month,year,return_1d,return_intraday,title_length,return_2d,price_event_open,price_event_close,price_1d_after,impact_class,geo_region,geo_event_type,news_type,sentiment,sentiment_class,sentiment_price_mismatch,volume_ratio,abs_return_intraday,abs_return_1d
DAL,2009-08-14 11:24:00,"AnalystChoice.com Brings You the Best Complimentary Research Report on CYN, DIS, MXB, ALD, DAL and TCB",6.221675395965576,6355900.0,4,8,2009,-0.0250001551985894,-0.0168067069752128,102,0.0849167740858055,6.169827020288938,6.066132545471191,6.75,negative,Global,airline,airline,0.65,positive,1,0.4711916276066677,0.0168067069752128,0.0250001551985894
JBLU,2009-09-29 17:51:00,Airlines take in nearly $4 billion in additional fees,6.0,10618000.0,1,9,2009,-0.0133333206176757,-0.0083751617512368,53,-0.0033333301544189,5.96999979019165,5.920000076293945,5.980000019073486,neutral,Global,airline,airline,0.1,neutral,0,1.5201687877609458,0.0083751617512368,0.0133333206176757
DAL,2009-10-06 11:57:00,Delta Air Lines (DAL) Extends Lease Agreement with Atlanta Airport Through 2017,8.449999809265137,7273000.0,1,10,2009,-0.0201183526782504,-0.024734987492151,79,0.0201183526782504,8.489999771118164,8.279999732971191,8.619999885559082,negative,Global,airline,airline,0.0,neutral,0,0.5391804005071342,0.024734987492151,0.0201183526782504
ALK,2009-10-22 18:04:00,Alaska Air Group Inc. (ALK) trading close to support zone of $25.5,6.204904079437256,4448400.0,3,10,2009,-0.0304348998860875,-0.0307859602564095,66,-0.0221015326113627,6.207151566405682,6.016058444976807,6.067766189575195,negative,Global,airline,airline,0.0,neutral,0,2.5353215170556576,0.0307859602564095,0.0304348998860875
DAL,2009-11-19 19:12:00,Is Airline ETF Ready To Take Flight? (FAA),7.590000152587891,7665900.0,3,11,2009,0.0039525339088382,0.0052770398754133,42,0.0184453048314974,7.579999923706055,7.619999885559082,7.730000019073486,neutral,Global,airline,airline,0.2,positive,0,0.5683078553894735,0.0052770398754133,0.0039525339088382
ALK,2009-12-11 09:32:00,GEOPOLITICAL: China Imposed Tariffs On U.S Steel Producers Leaves China Steel Companies Looking Sexy,7.293008327484131,3535200.0,4,12,2009,0.0681259144190409,0.0661538931039663,86,0.0662763663415464,7.306497907145979,7.789851188659668,7.776362419128418,positive,China,geopolitical,geopolitical,0.5,positive,0,2.0148522226182806,0.0661538931039663,0.0681259144190409
UAL,2009-12-11 09:32:00,GEOPOLITICAL: China Imposed Tariffs On U.S Steel Producers Leaves China Steel Companies Looking Sexy,10.170000076293944,23364600.0,4,12,2009,0.0806292712559187,0.0690661533647495,86,0.1327433993453499,10.279999732971191,10.989999771118164,11.520000457763672,positive,China,geopolitical,geopolitical,0.5,positive,0,2.245741014828209,0.0690661533647495,0.0806292712559187
LUV,2009-12-11 09:32:00,GEOPOLITICAL: China Imposed Tariffs On U.S Steel Producers Leaves China Steel Companies Looking Sexy,8.852617263793945,14455500.0,4,12,2009,0.0665359064800732,0.0623781067613278,86,0.0675145071844847,8.887263506346676,9.44163417816162,9.450297355651855,positive,China,geopolitical,geopolitical,0.5,positive,0,1.7099823710645319,0.0623781067613278,0.0665359064800732
JBLU,2009-12-11 09:32:00,GEOPOLITICAL: China Imposed Tariffs On U.S Steel Producers Leaves China Steel Companies Looking Sexy,5.710000038146973,17108400.0,4,12,2009,0.0367775896224201,0.0331588231392678,86,0.017513118032311,5.730000019073486,5.920000076293945,5.809999942779541,positive,China,geopolitical,geopolitical,0.5,positive,0,2.449393076712127,0.0331588231392678,0.0367775896224201
DAL,2009-12-11 09:32:00,GEOPOLITICAL: China Imposed Tariffs On U.S Steel Producers Leaves China Steel Companies Looking Sexy,8.537519454956055,43409100.0,4,12,2009,0.138663985474917,0.1329304787771455,86,0.1224693758141818,8.580725923397242,9.721365928649902,9.583104133605955,positive,China,geopolitical,geopolitical,0.5,positive,0,3.218113010264573,0.1329304787771455,0.138663985474917
